date,cases (Nowcast RKI),min cases (Nowcast RKI),max cases (Nowcast RKI),7 day R value (Nowcast RKI),min 7 day R value (Nowcast RKI),max 7 day R value (Nowcast RKI),cases (mean of ±3 days of Nowcast RKI),R value calculated with cases (mean of ±3 days of Nowcast RKI),Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),min Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),max Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),"7 day R value (Nowcast RKI, -5 days incubation period)","min 7 day R value (Nowcast RKI, -5 days incubation period)","max 7 day R value (Nowcast RKI, -5 days incubation period)",Infections (mean of ±3 days based on 7 day nowcast of RKI - 5 days regarding incubation period),R value by Infections (mean of ±3 days based on 7 day nowcast of RKI - 5 days regarding incubation period),R value calculated with cases (mean of ±3 days of Nowcast RKI) -> minus 4 days,R value by Infections minus 4 days
2020-11-06,17426.0,17259.0,17602.0,0.98,0.98,0.99,17325.428571428572,0.9974556567471802,17631.0,17437.0,17824.0,0.99,0.98,0.99,17213.285714285714,0.9800204760370866,0.9716660016449108,1.0388266992699844
2020-11-07,16433.0,16274.0,16604.0,0.97,0.97,0.98,17160.85714285714,0.985522455359219,18257.0,18069.0,18457.0,1.02,1.02,1.03,17425.285714285714,0.9948059959797704,0.9800204760370866,1.04215187660754
2020-11-08,15713.0,15544.0,15890.0,0.96,0.95,0.96,17012.85714285714,0.9755357240226102,18086.0,17902.0,18277.0,1.04,1.03,1.04,17648.285714285714,1.0128838926300545,0.9948059959797704,1.0378942553932304
2020-11-09,16336.0,16166.0,16529.0,0.96,0.96,0.97,16958.428571428572,0.969873787665355,17557.0,17382.0,17750.0,1.05,1.05,1.05,17827.571428571428,1.0282991196201923,1.0128838926300545,1.0283088257766384
2020-11-10,16913.0,16731.0,17101.0,0.97,0.96,0.97,17052.714285714286,0.9716660016449108,17197.0,17027.0,17392.0,1.05,1.05,1.06,17985.571428571428,1.0388266992699844,1.0282991196201923,1.013822860217611
2020-11-11,17631.0,17437.0,17824.0,0.99,0.98,0.99,17213.285714285714,0.9800204760370866,17897.0,17718.0,18088.0,1.04,1.04,1.05,18082.0,1.04215187660754,1.0388266992699844,0.9962320588493702
2020-11-12,18257.0,18069.0,18457.0,1.02,1.02,1.03,17425.285714285714,0.9948059959797704,18168.0,17983.0,18353.0,1.04,1.03,1.04,18072.0,1.0378942553932304,1.04215187660754,0.9783869623042262
2020-11-13,18086.0,17902.0,18277.0,1.04,1.03,1.04,17648.285714285714,1.0128838926300545,18737.0,18548.0,18918.0,1.02,1.02,1.03,17959.714285714286,1.0283088257766384,1.0378942553932304,0.962403035496686
2020-11-14,17557.0,17382.0,17750.0,1.05,1.05,1.05,17827.571428571428,1.0282991196201923,18932.0,18744.0,19125.0,1.0,0.99,1.0,17752.85714285714,1.013822860217611,1.0283088257766384,0.9507201838327376
2020-11-15,17197.0,17027.0,17392.0,1.05,1.05,1.06,17985.571428571428,1.0388266992699844,18016.0,17828.0,18210.0,0.98,0.97,0.98,17489.285714285714,0.9962320588493702,1.013822860217611,0.9447362988232509
